campus_id,poi_id,name,category,priority,file,source,source_post_id,source_post_title
weijinlu,weijinlu-newton-tree,牛顿苹果树,文化/景观,P1,weijinlu/weijinlu-newton-tree-1.jpg,user,,
weijinlu,weijinlu-newton-tree,牛顿苹果树,文化/景观,P1,weijinlu/weijinlu-newton-tree-2.jpg,user,,
weijinlu,weijinlu-25-teaching,曾宪梓楼（25教）,教学/科研,P1,weijinlu/weijinlu-25-teaching-1.jpg,user,,
weijinlu,weijinlu-aiwan-lake,爱晚湖,文化/景观,P1,weijinlu/weijinlu-aiwan-lake-1.webp,user,,
weijinlu,weijinlu-aiwan-lake,爱晚湖,文化/景观,P1,weijinlu/weijinlu-aiwan-lake-2.jpg,user,,
weijinlu,weijinlu-alumni-home,校友之家,服务,P1,weijinlu/weijinlu-alumni-home-1.webp,user,,
weijinlu,weijinlu-alumni-home,校友之家,服务,P1,weijinlu/weijinlu-alumni-home-2.jpg,user,,
weijinlu,weijinlu-beiyang-square,北洋广场,文化/景观,P1,weijinlu/weijinlu-beiyang-square-1.jpg,user,,
weijinlu,weijinlu-beiyang-square,北洋广场,文化/景观,P1,weijinlu/weijinlu-beiyang-square-2.jpg,user,,
weijinlu,weijinlu-chunshui-library,春水图书馆（北馆）,图书馆,P1,weijinlu/weijinlu-chunshui-library-1.jpg,user,,
weijinlu,weijinlu-chunshui-library,春水图书馆（北馆）,图书馆,P1,weijinlu/weijinlu-chunshui-library-2.jpg,user,,
weijinlu,weijinlu-east-gate,卫津路校区东门,校门,P1,weijinlu/weijinlu-east-gate-1.jpg,user,,
weijinlu,weijinlu-east-gate,卫津路校区东门,校门,P1,weijinlu/weijinlu-east-gate-2.jpg,user,,
weijinlu,weijinlu-feng-jicai,冯骥才文学艺术研究院,文化/景观,P1,weijinlu/weijinlu-feng-jicai-1.jpg,user,,
weijinlu,weijinlu-feng-jicai,冯骥才文学艺术研究院,文化/景观,P1,weijinlu/weijinlu-feng-jicai-2.jpg,user,,
weijinlu,weijinlu-history-museum,天津大学校史博物馆,文化/景观,P1,weijinlu/weijinlu-history-museum-1.jpg,user,,
weijinlu,weijinlu-history-museum,天津大学校史博物馆,文化/景观,P1,weijinlu/weijinlu-history-museum-2.webp,user,,
weijinlu,weijinlu-jingye-lake,敬业湖,文化/景观,P1,weijinlu/weijinlu-jingye-lake-1.webp,user,,
weijinlu,weijinlu-qiushi-pavilion,求是亭,文化/景观,P1,weijinlu/weijinlu-qiushi-pavilion-1.jpg,user,,
weijinlu,weijinlu-qiushi-pavilion,求是亭,文化/景观,P1,weijinlu/weijinlu-qiushi-pavilion-2.jpg,user,,
weijinlu,weijinlu-science-library,科学图书馆（南馆）,图书馆,P1,weijinlu/weijinlu-science-library-1.webp,user,,
weijinlu,weijinlu-science-library,科学图书馆（南馆）,图书馆,P1,weijinlu/weijinlu-science-library-2.jpg,user,,
weijinlu,weijinlu-stadium,体育场,体育,P1,weijinlu/weijinlu-stadium-1.webp,user,,
weijinlu,weijinlu-stadium,体育场,体育,P1,weijinlu/weijinlu-stadium-2.webp,user,,
weijinlu,weijinlu-student-center,大学生活动中心,服务,P1,weijinlu/weijinlu-student-center-1.jpg,user,,
weijinlu,weijinlu-student-center,大学生活动中心,服务,P1,weijinlu/weijinlu-student-center-2.jpg,user,,
weijinlu,weijinlu-wang-xuezhong,王学仲艺术研究所,文化/景观,P1,weijinlu/weijinlu-wang-xuezhong-1.webp,user,,
weijinlu,weijinlu-youth-lake,青年湖,文化/景观,P1,weijinlu/weijinlu-youth-lake-1.jpg,user,,
weijinlu,weijinlu-youth-lake,青年湖,文化/景观,P1,weijinlu/weijinlu-youth-lake-2.jpg,user,,
weijinlu,weijinlu-youyi-lake,友谊湖,文化/景观,P1,weijinlu/weijinlu-youyi-lake-1.webp,user,,
weijinlu,weijinlu-youyi-lake,友谊湖,文化/景观,P1,weijinlu/weijinlu-youyi-lake-2.jpg,user,,
weijinlu,weijinlu-zhang-tailei,张太雷像,文化/景观,P1,weijinlu/weijinlu-zhang-tailei-1.webp,user,,
beiyangyuan,beiyangyuan-datong-center,大通学生中心,服务,P1,beiyangyuan/beiyangyuan-datong-center-1.jpg,user,,
beiyangyuan,beiyangyuan-datong-center,大通学生中心,服务,P1,beiyangyuan/beiyangyuan-datong-center-2.jpg,user,,
beiyangyuan,beiyangyuan-dorm-cheng,诚园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-cheng-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-ge,格园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-ge-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-ping,平园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-ping-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-qi,齐园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-qi-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-xiu,修园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-xiu-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-zheng,正园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-zheng-1.jpg,user,,
beiyangyuan,beiyangyuan-dorm-zhi,知园,宿舍区,P3,beiyangyuan/beiyangyuan-dorm-zhi-1.jpg,user,,
